"variable","var_type","var_label","row_type","label","stat_0","stat_1","stat_2","stat_3","stat_4","stat_5","stat_6","stat_7","stat_8","stat_9","stat_10","stat_11","stat_12","stat_13"
"Currency","categorical","Number of Currencies","level","NOK","2 (1%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","2 (7%)"
"Currency","categorical","Number of Currencies","level","NPR","1 (0%)","1 (4%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","NZD","4 (2%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","4 (17%)","0 (0%)","0 (0%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","OMR","1 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","1 (7%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","PAB","1 (0%)","0 (0%)","0 (0%)","0 (0%)","1 (13%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","PEN","1 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","1 (7%)","0 (0%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","PGK","1 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","1 (4%)","0 (0%)","0 (0%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","PHP","1 (0%)","1 (4%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","PLN","1 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","1 (7%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","PYG","1 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","1 (7%)","0 (0%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","QAR","1 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","1 (7%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","RSD","1 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","1 (7%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","RUB","1 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","1 (9%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","RWF","1 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","1 (2%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","SAR","1 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","1 (7%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","SBD","1 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","1 (4%)","0 (0%)","0 (0%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","SCR","1 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","1 (2%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","SDG","1 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","1 (2%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","SEK","1 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","1 (4%)"
"Currency","categorical","Number of Currencies","level","SGD","1 (0%)","1 (4%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","SHP","1 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","1 (2%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","SLE","1 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","1 (2%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","SRD","1 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","1 (7%)","0 (0%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","SSP","1 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","1 (2%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","STN","1 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","1 (2%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","SYP","1 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","1 (7%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","SZL","1 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","1 (2%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","THB","1 (0%)","1 (4%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","TJS","1 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","1 (9%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","TMT","1 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","1 (9%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","TND","1 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","1 (14%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","TOP","1 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","1 (4%)","0 (0%)","0 (0%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","TRY","1 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","1 (7%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","TTD","1 (0%)","0 (0%)","0 (0%)","1 (3%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","TWD","1 (0%)","1 (4%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","TZS","1 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","1 (2%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","UAH","1 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","1 (9%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","UGX","1 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","1 (2%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","USD","20 (9%)","2 (8%)","0 (0%)","4 (14%)","2 (25%)","0 (0%)","0 (0%)","1 (7%)","0 (0%)","1 (25%)","5 (22%)","1 (7%)","4 (8%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","UYU","1 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","1 (7%)","0 (0%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","UZS","1 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","1 (9%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","VND","1 (0%)","1 (4%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","VUV","1 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","1 (4%)","0 (0%)","0 (0%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","WST","1 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","1 (4%)","0 (0%)","0 (0%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","XAF","3 (1%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","3 (6%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","XCD","9 (4%)","0 (0%)","0 (0%)","8 (28%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","1 (7%)","0 (0%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","XOF","10 (4%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","10 (20%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","XPF","2 (1%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","2 (9%)","0 (0%)","0 (0%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","YER","1 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","1 (7%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","ZAR","1 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","1 (2%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","ZMW","1 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","1 (2%)","0 (0%)"
